20201118,昆山,陆家,水岸香堤 南北通透户型 三房两厅 边套 中间楼层采光好,177万,中楼层(共12层)                                                3室2厅 | 89.5平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_RI1VZapGZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,水岸香堤，闹中取静，经典两房71平，适合热爱生活的您,125万,低楼层(共26层)                                                2室2厅 | 71平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Lm9tKLqTl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,单价9500的中环内住宅，房东诚心出售 看房方便,85万,中楼层(共15层)                                                2室1厅 | 89平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_glUqjsw19_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,清水毛坯，品质小区，房东诚心出售！,114万,高楼层(共27层)                                                2室2厅 | 83.36平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_8msUl1Ue1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,周生推荐 常发豪郡精装两房楼层好 即将满五唯一,115万,高楼层(共27层)                                                2室2厅 | 74平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_03bNjIUjG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,博怡轩2房精装出售，拎包入住，自住标准，家具家电,140.5万,低楼层(共6层)                                                2室2厅 | 88.01平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_RrfZJ1XiU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,房满2年，适合一家人居住，环境好，小区新，房东急卖,215万,中楼层(共27层)                                                3室2厅 | 134平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_EBIo7k7Gi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,不限制购买，可住人，总价低，不要社保,30万,中楼层(共10层)                                                1室1厅 | 49.07平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_FjNkYDVOT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,常发豪郡北区 2室2厅 南必看好房,115万,中楼层(共22层)                                                2室2厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_0vS6op8Jx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,陆家云立方，好房房东诚心出售。看房方便。,226万,高楼层(共18层)                                                5室2厅 | 154.7平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_J1gFiBort_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,昆山,陆家,环境优雅，绿化好， 物业管理好，产权清晰，产证齐全,142万,低楼层(共18层)                                                2室2厅 | 95.53平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_loB7HZ5TF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
