20201118,工业园区,独墅湖高教区,中楼层 南北通透，精装自住，随时可以签约。新上,430万,高楼层(共20层)                                                3室2厅 | 103.8平米                                  | 南 北,https://ke-image.ljcdn.com/320500-inspection/pc1_1KgGQhHNq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,婚房装修，拎包入住，不靠路，采光赞，中间位置必看好房,352万,中楼层(共20层)                                                2室1厅 | 88平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/19f4acef-815b-490f-9f77-c19c23653d26.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,海德公园精装三房，不靠马路，不靠加油站，诚心出售,478万,低楼层(共20层)                                                3室1厅 | 115.41平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/2de81033-3568-4962-9ff7-83e1a7054762_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,翰林缘 3室1厅 南,465万,中楼层(共18层)                                                3室1厅 | 130.5平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/4cbc49f8-484f-409c-afdc-51a239304051_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,海德公园双阳台两房  精装 52万  全实木家具家电,378万,低楼层(共20层)                                                2室2厅 | 94.05平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-f3dc63cf-3954-4444-bb49-a6fbdcaaf0ec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,独墅湖高校区 翰林缘毛坯三房两卫 通透户型,395万,高楼层(共25层)                                                3室1厅 | 130.58平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_RySMcfrbT.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,南向开间卧室加阔景阳台，温馨居室祝您快乐生活,298万,中楼层(共16层)                                                2室1厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_zjrsC33TT_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,翰林缘通透三房 带空中花园+精装 高使用面积满五唯一,425万,高楼层(共25层)                                                3室2厅 | 135平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-555ae6d1-944b-44f7-8fcb-a5cc2d0df589.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,海德88平金典大2房，自住装修，楼层和视野好,367万,中楼层(共20层)                                                2室2厅 | 88.19平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/9694b80b-11f3-434e-98d1-9ddb0dc2c413_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,小区中间位置，不靠马路，视野开阔，欢迎您随时看房,848万,高楼层(共26层)                                                4室2厅 | 150平米                                  | 南 北,https://ke-image.ljcdn.com/320500-inspection/pc1_cWPYiSLsM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,独墅湖高教区,毛坯房，满5年，业主诚心卖，价格便宜。,595万,高楼层(共18层)                                                4室2厅 | 143.24平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_OGGFybNb7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
