20201118,工业园区,青剑湖,青剑湖天然氧吧，青湖语城精装3+1室，诚售，看房随时,408万,低楼层(共11层)                                                3室2厅 | 118平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_k4tqV6DBe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,房子满2年.远离高架，楼层采光好，双阳台必看好房,259.5万,高楼层(共18层)                                                2室1厅 | 78.09平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-324717ef-2559-4eee-8062-b279a0745e6f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,上郡临湖壹号，南北通透双阳台，精装修，中间楼层,307.8万,中楼层(共11层)                                                2室1厅 | 86平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_iE3d8o9DE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,园区 青剑湖畔 两居洋房 户型方正,238万,低楼层(共9层)                                                2室1厅 | 79.56平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_kT9JDxAL4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,阳澄湖景两房 满二年 诚意出售,268万,低楼层(共12层)                                                2室1厅 | 79.29平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_LlPgk65F2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,满五唯一  中上楼层  视野好   诚意出售,413万,高楼层(共27层)                                                3室1厅 | 127.8平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_UOLqyG5jt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,满5唯一 中间位置 安静 采光好 精装修 保养好,410万,中楼层(共11层)                                                4室2厅 | 118.31平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_5MkPNJ8N7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,孔令帅推荐 ：户型正气，小区配套设施齐全，交通便捷必看好房,183万,中楼层(共20层)                                                2室1厅 | 72.02平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_yyelVAU1u_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,青剑湖公馆  2房 精装修 拎包入住 房东诚售,221万,低楼层(共16层)                                                2室1厅 | 67.46平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_QBtQo2Z3w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,精装大两房，楼层好，满五唯一。,280万,中楼层(共11层)                                                2室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_jEDXeS5pk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,景悦星湖（北区） 2室2厅 南 北,381万,低楼层(共11层)                                                2室2厅 | 99.62平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_W1bIz8E4O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,青剑湖,朗诗未来街区 3室2厅 南,315万,中楼层(共6层)                                                3室2厅 | 91平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ydLRurHzf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
