20201118,姑苏,观前街,润亿皇朝,30852元/m2,10套在售二手房
20201118,姑苏,观前街,富仁坊巷,27709元/m2,15套在售二手房
20201118,姑苏,观前街,观前1号,16935元/m2,1套在售二手房
20201118,姑苏,观前街,九九玄妙,26734元/m2,0套在售二手房
20201118,姑苏,观前街,乔司空巷,34622元/m2,1套在售二手房
20201118,姑苏,观前街,粤海广场,25746元/m2,2套在售二手房
20201118,姑苏,观前街,富仁坊65号,16976元/m2,1套在售二手房
20201118,姑苏,观前街,祥符寺巷散盘,38758元/m2,2套在售二手房
20201118,姑苏,观前街,锦地星座,15219元/m2,1套在售二手房
20201118,姑苏,观前街,洪元弄散盘,29233元/m2,0套在售二手房
20201118,姑苏,观前街,侍其巷散盘,36469元/m2,7套在售二手房
20201118,姑苏,观前街,皮市街散盘,34594元/m2,1套在售二手房
20201118,姑苏,观前街,书院弄,25247元/m2,2套在售二手房
20201118,姑苏,观前街,史家巷,21526元/m2,2套在售二手房
20201118,姑苏,观前街,闾邱坊巷散盘,37890元/m2,5套在售二手房
20201118,姑苏,观前街,大新巷8号,31696元/m2,0套在售二手房
20201118,姑苏,观前街,颜家巷散盘,52717元/m2,3套在售二手房
20201118,姑苏,观前街,银房弄散盘,39539元/m2,0套在售二手房
20201118,姑苏,观前街,承德里,34621元/m2,1套在售二手房
20201118,姑苏,观前街,大新新村,33877元/m2,0套在售二手房
20201118,姑苏,观前街,松筠里散盘,32143元/m2,3套在售二手房
20201118,姑苏,观前街,温家岸散盘,暂无,1套在售二手房
20201118,姑苏,观前街,西花桥巷28号,31313元/m2,0套在售二手房
20201118,姑苏,观前街,蔡汇河头15号,33730元/m2,1套在售二手房
20201118,姑苏,观前街,蔡汇河头13号,32219元/m2,0套在售二手房
20201118,姑苏,观前街,因果巷50号,暂无,0套在售二手房
20201118,姑苏,观前街,社坛巷,32208元/m2,4套在售二手房
20201118,姑苏,观前街,因果巷22号,34915元/m2,0套在售二手房
20201118,姑苏,观前街,众善桥弄散盘,暂无,0套在售二手房
20201118,姑苏,观前街,平安坊,暂无,1套在售二手房
